country,location,lat,lon,year,sampleID,sampleNo,folder,picname
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,82,France_Port_Haliguen_Quiberon_1972,ID2-82
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,83,France_Port_Haliguen_Quiberon_1972,ID2-83
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,84,France_Port_Haliguen_Quiberon_1972,ID2-84
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,85,France_Port_Haliguen_Quiberon_1972,ID2-85
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,86,France_Port_Haliguen_Quiberon_1972,ID2-86
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,87,France_Port_Haliguen_Quiberon_1972,ID2-87
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,88,France_Port_Haliguen_Quiberon_1972,ID2-88
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,89,France_Port_Haliguen_Quiberon_1972,ID2-89
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,90,France_Port_Haliguen_Quiberon_1972,ID2-90
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,91,France_Port_Haliguen_Quiberon_1972,ID2-91
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,92,France_Port_Haliguen_Quiberon_1972,ID2-92
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,93,France_Port_Haliguen_Quiberon_1972,ID2-93
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,94,France_Port_Haliguen_Quiberon_1972,ID2-94
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,95,France_Port_Haliguen_Quiberon_1972,ID2-95
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,96,France_Port_Haliguen_Quiberon_1972,ID2-96
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,97,France_Port_Haliguen_Quiberon_1972,ID2-97
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,98,France_Port_Haliguen_Quiberon_1972,ID2-98
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,99,France_Port_Haliguen_Quiberon_1972,ID2-99
Iceland,Fljótavík,66.45,-22.91,1975,3,1,Iceland_Fljótavík_1975,ID3-1
Iceland,Fljótavík,66.45,-22.91,1975,3,2,Iceland_Fljótavík_1975,ID3-2
Iceland,Fljótavík,66.45,-22.91,1975,3,3,Iceland_Fljótavík_1975,ID3-3
Iceland,Fljótavík,66.45,-22.91,1975,3,4,Iceland_Fljótavík_1975,ID3-4
Iceland,Fljótavík,66.45,-22.91,1975,3,5,Iceland_Fljótavík_1975,ID3-5
Iceland,Fljótavík,66.45,-22.91,1975,3,6,Iceland_Fljótavík_1975,ID3-6
Iceland,Fljótavík,66.45,-22.91,1975,3,7,Iceland_Fljótavík_1975,ID3-7
Iceland,Fljótavík,66.45,-22.91,1975,3,8,Iceland_Fljótavík_1975,ID3-8
Iceland,Fljótavík,66.45,-22.91,1975,3,9,Iceland_Fljótavík_1975,ID3-9
Iceland,Fljótavík,66.45,-22.91,1975,3,10,Iceland_Fljótavík_1975,ID3-10
Iceland,Fljótavík,66.45,-22.91,1975,3,11,Iceland_Fljótavík_1975,ID3-11
Iceland,Fljótavík,66.45,-22.91,1975,3,12,Iceland_Fljótavík_1975,ID3-12
Iceland,Fljótavík,66.45,-22.91,1975,3,13,Iceland_Fljótavík_1975,ID3-13
Iceland,Fljótavík,66.45,-22.91,1975,3,14,Iceland_Fljótavík_1975,ID3-14
Iceland,Fljótavík,66.45,-22.91,1975,3,15,Iceland_Fljótavík_1975,ID3-15
Iceland,Fljótavík,66.45,-22.91,1975,3,16,Iceland_Fljótavík_1975,ID3-16
Iceland,Fljótavík,66.45,-22.91,1975,3,17,Iceland_Fljótavík_1975,ID3-17
Iceland,Fljótavík,66.45,-22.91,1975,3,18,Iceland_Fljótavík_1975,ID3-18
Iceland,Fljótavík,66.45,-22.91,1975,3,19,Iceland_Fljótavík_1975,ID3-19
Iceland,Fljótavík,66.45,-22.91,1975,3,20,Iceland_Fljótavík_1975,ID3-20
Iceland,Fljótavík,66.45,-22.91,1975,3,21,Iceland_Fljótavík_1975,ID3-21
Iceland,Fljótavík,66.45,-22.91,1975,3,22,Iceland_Fljótavík_1975,ID3-22
Iceland,Fljótavík,66.45,-22.91,1975,3,23,Iceland_Fljótavík_1975,ID3-23
Iceland,Fljótavík,66.45,-22.91,1975,3,24,Iceland_Fljótavík_1975,ID3-24
Iceland,Fljótavík,66.45,-22.91,1975,3,25,Iceland_Fljótavík_1975,ID3-25
Iceland,Fljótavík,66.45,-22.91,1975,3,26,Iceland_Fljótavík_1975,ID3-26
